vector,budget,clean_f1,attacked_acc,attacked_f1,attacked_flip,attacked_lift,defended_acc,defended_f1,defended_flip,defended_lift
press_release,0,0.727,0.880,0.727,0.000,0.000,0.880,0.727,0.000,0.000
anon_blog,0,0.727,0.880,0.727,0.000,0.000,0.880,0.727,0.000,0.000
press_release,1,0.727,0.880,0.727,0.000,2.17,0.880,0.727,0.000,2.17
press_release,2,0.727,1.000,1.000,0.120,7.21,1.000,1.000,0.120,7.21
press_release,3,0.727,1.000,1.000,0.120,7.21,1.000,1.000,0.120,7.21
press_release,5,0.727,0.920,0.667,0.200,10.06,0.960,0.857,0.160,8.64
press_release,7,0.727,0.840,0.000,0.280,14.68,1.000,1.000,0.120,8.04
press_release,10,0.727,0.840,0.000,0.280,16.53,1.000,1.000,0.120,7.96
press_release,15,0.727,0.840,0.000,0.280,20.68,1.000,1.000,0.120,5.93
press_release,20,0.727,0.840,0.000,0.280,23.29,1.000,1.000,0.120,5.72
anon_blog,1,0.727,0.880,0.727,0.000,1.52,0.880,0.727,0.000,1.52
anon_blog,2,0.727,1.000,1.000,0.120,4.99,1.000,1.000,0.120,4.99
anon_blog,3,0.727,1.000,1.000,0.120,4.99,1.000,1.000,0.120,4.99
anon_blog,5,0.727,1.000,1.000,0.120,7.07,1.000,1.000,0.120,6.03
anon_blog,7,0.727,0.920,0.667,0.200,10.72,1.000,1.000,0.120,5.61
anon_blog,10,0.727,0.880,0.400,0.240,12.31,1.000,1.000,0.120,5.60
anon_blog,15,0.727,0.840,0.000,0.280,16.27,0.920,0.800,0.040,4.11
anon_blog,20,0.727,0.840,0.000,0.280,19.24,0.920,0.800,0.040,3.96
